cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_22,0,100,0,-1,80,0,70,10,0,-1,40,0,25,11,-1,0,0,0,0,10,0,58,28,34,0,0,0,85,0,80,0,98,89,0,-1,94,40,0,0
cell_23,0,0,52,-1,0,0,8,36,66,67,0,-1,0,23,0,0,0,82,-1,0,43,2,0,28,91,0,-1,-1,-1,64,0,0,0,0,39,31,0,0,11
cell_24,96,11,-1,5,70,0,-1,68,53,0,11,59,-1,16,13,19,40,4,3,-1,-1,0,0,66,52,-1,49,66,0,0,60,0,99,-1,36,94,99,0,73
cell_25,81,-1,29,0,0,-1,86,0,-1,0,-1,0,52,13,0,0,29,79,-1,22,28,-1,52,0,-1,0,0,-1,0,0,0,0,-1,-1,27,0,15,42,-1
cell_26,0,-1,-1,11,-1,41,93,5,-1,3,53,0,0,80,32,49,0,94,0,0,6,21,0,-1,0,0,0,71,0,89,0,85,0,72,0,-1,-1,-1,6
cell_27,0,59,-1,0,73,-1,33,46,0,-1,96,60,0,-1,86,17,2,-1,30,-1,0,0,-1,-1,50,14,91,-1,0,83,-1,0,47,-1,50,88,25,0,0
cell_28,60,-1,84,19,-1,0,-1,45,49,-1,78,86,13,0,2,0,0,-1,100,0,100,46,23,47,-1,79,0,38,0,-1,0,52,0,0,0,0,0,69,12
cell_29,3,34,-1,86,-1,-1,46,93,79,-1,0,62,71,-1,72,-1,-1,24,0,90,5,-1,-1,53,0,-1,0,-1,0,0,9,80,-1,44,37,86,0,0,0
cell_30,0,0,17,1,0,-1,0,58,89,-1,-1,35,0,0,0,0,96,0,0,49,0,-1,41,61,-1,0,0,23,0,0,78,45,0,0,-1,88,75,47,-1
cell_31,6,13,74,-1,60,-1,36,22,0,33,0,58,6,0,0,0,0,86,-1,-1,-1,0,14,20,-1,13,81,45,0,48,95,0,0,0,0,0,38,0,-1
