cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_21,0,0,0,47,45,0,37,0,0,0,0,0,31,93,0,73,2,0,-1,95,0,0,0,0,0,11,0,38,0,3,0,43,0,0,4,84,31,0,0
cell_22,0,0,87,28,0,0,11,-1,18,-1,0,0,13,29,-1,-1,0,79,0,0,-1,0,-1,0,49,40,0,77,0,0,0,0,0,-1,-1,0,54,-1,0
cell_23,0,65,39,-1,0,0,63,28,-1,0,0,-1,0,29,-1,12,0,0,0,0,64,0,-1,24,18,0,100,66,-1,0,0,53,0,40,-1,84,-1,-1,0
cell_24,-1,0,-1,46,-1,39,-1,22,3,0,24,96,0,8,9,0,-1,0,0,0,0,0,18,33,43,0,0,-1,-1,0,63,0,49,-1,0,69,0,59,0
cell_25,-1,47,0,-1,-1,-1,0,-1,0,-1,36,0,0,76,0,22,0,0,20,48,100,50,0,0,12,84,16,-1,-1,-1,77,67,34,-1,-1,-1,0,0,47
cell_26,81,0,92,2,8,67,90,0,0,71,88,0,0,0,0,0,92,93,0,-1,0,0,0,-1,98,3,-1,5,-1,86,0,-1,-1,-1,76,0,0,-1,-1
cell_27,0,-1,67,-1,0,0,98,0,71,72,0,0,17,97,0,0,0,0,-1,3,51,0,91,0,-1,71,42,-1,0,0,0,0,80,-1,0,0,40,0,0
cell_28,-1,0,0,36,-1,38,29,0,0,34,27,36,89,0,57,0,0,20,0,-1,70,48,0,-1,46,-1,0,0,64,-1,-1,0,23,13,0,69,59,0,3
cell_29,82,-1,0,-1,0,-1,0,0,0,0,93,10,6,100,11,0,-1,0,0,-1,30,54,-1,56,98,0,-1,28,40,61,15,0,45,0,0,91,0,49,-1
cell_30,-1,91,0,-1,85,-1,87,4,-1,-1,57,0,-1,-1,0,-1,0,-1,10,68,88,-1,65,0,70,98,-1,0,0,99,0,0,0,18,88,0,48,0,0
cell_31,39,79,13,0,-1,73,89,-1,-1,0,64,-1,0,64,30,0,-1,0,-1,-1,80,-1,12,0,29,0,0,-1,0,18,0,0,26,0,39,0,0,1,6
