cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_11,55,69,0,31,0,4,0,-1,-1,-1,-1,59,-1,-1,23,26,29,92,0,0,42,86,80,0,0,27,-1,54,-1,75,-1,44,60,-1,78,-1,18,95,-1
cell_12,8,0,27,92,0,86,0,54,-1,13,2,0,26,27,0,0,63,52,0,75,0,-1,0,67,0,0,0,0,-1,97,-1,52,-1,45,-1,86,85,0,100
cell_13,0,0,0,73,61,0,57,0,0,0,19,62,0,17,60,-1,0,41,-1,59,0,24,-1,-1,83,73,81,0,0,-1,6,97,90,43,24,5,-1,-1,0
cell_14,0,0,76,11,0,0,0,0,0,0,-1,0,0,0,12,-1,59,90,0,12,-1,29,89,0,-1,0,0,0,0,8,0,83,11,6,71,0,80,0,-1
cell_15,0,-1,0,-1,33,16,58,0,19,68,83,81,0,0,0,59,-1,-1,62,0,0,0,-1,-1,0,57,63,0,43,2,83,0,0,0,0,66,0,-1,-1
cell_16,0,0,1,0,48,64,24,-1,0,0,-1,81,0,8,66,24,0,90,0,-1,28,66,0,0,0,0,76,0,0,0,-1,0,0,0,-1,0,-1,73,0
cell_17,78,15,13,-1,94,0,0,0,27,0,0,-1,0,0,0,50,-1,0,46,100,11,-1,14,0,-1,0,0,0,79,0,64,99,41,70,96,-1,18,0,-1
cell_18,0,66,37,9,72,0,22,31,0,0,-1,0,0,21,-1,81,0,0,-1,0,0,-1,-1,0,84,0,0,0,91,51,30,0,25,75,-1,54,0,9,43
cell_19,0,0,0,0,-1,-1,-1,5,0,0,24,0,0,-1,88,0,0,0,34,3,80,0,52,0,0,0,0,0,38,0,0,0,0,0,0,60,68,85,29
cell_20,0,55,89,0,0,-1,0,57,0,0,-1,35,-1,0,-1,46,-1,0,87,-1,0,23,0,0,0,30,-1,-1,67,86,64,3,-1,69,0,0,-1,0,21
cell_21,-1,0,-1,0,98,0,38,0,67,0,2,0,92,23,0,0,14,14,49,18,100,-1,39,0,0,0,0,38,-1,0,72,-1,0,24,26,87,-1,0,59
cell_22,61,84,92,0,71,0,9,0,46,-1,-1,-1,0,80,45,-1,-1,0,0,0,-1,0,2,0,13,0,59,0,0,0,0,72,79,32,-1,0,0,90,22
cell_23,-1,62,0,-1,0,86,-1,0,0,44,68,0,45,13,0,-1,0,0,-1,0,70,92,56,-1,-1,24,43,0,56,16,-1,65,0,-1,62,0,0,-1,45
cell_24,77,0,79,49,-1,0,0,0,0,84,41,-1,-1,-1,48,96,0,59,0,99,0,0,47,88,0,58,-1,-1,0,-1,4,-1,0,0,40,-1,0,0,0
cell_25,0,0,0,86,0,56,0,0,11,-1,60,-1,44,0,58,0,46,-1,29,0,38,65,62,4,0,25,0,0,94,0,-1,21,-1,0,0,0,78,-1,60
cell_26,0,-1,-1,0,80,0,52,0,0,3,80,68,0,0,90,0,93,0,0,-1,-1,56,24,28,0,0,0,-1,0,96,16,-1,0,65,53,93,0,0,88
cell_27,0,19,-1,71,63,0,12,0,0,60,24,0,-1,0,0,0,0,0,0,55,0,0,0,-1,0,60,0,0,-1,0,-1,70,0,65,0,0,0,0,0
cell_28,-1,0,80,0,0,0,0,-1,0,-1,0,26,0,0,68,96,0,-1,90,-1,-1,51,25,33,0,-1,0,73,-1,43,0,0,36,38,-1,51,-1,0,0
cell_29,0,-1,-1,0,0,0,46,0,0,81,0,58,52,33,37,0,55,-1,-1,49,13,-1,2,-1,88,0,0,0,15,0,35,0,100,-1,62,0,21,0,3
cell_30,80,0,-1,16,0,0,0,0,4,0,57,-1,0,86,0,-1,-1,0,33,36,45,-1,77,0,0,-1,81,0,0,13,0,0,37,0,0,0,0,-1,0
cell_31,44,0,87,-1,37,-1,-1,0,0,55,81,99,67,-1,0,-1,0,0,-1,0,0,-1,58,0,95,-1,14,35,0,-1,62,0,0,0,0,0,44,61,20
