cell_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38
cell_15,0,1,-1,0,-1,88,10,0,84,-1,53,82,-1,0,-1,79,-1,10,12,0,-1,-1,55,-1,0,0,98,0,62,0,85,0,-1,12,0,3,-1,79,0
cell_16,0,-1,-1,8,-1,21,74,0,0,100,-1,57,95,0,0,0,0,79,-1,0,55,2,58,93,0,71,13,-1,0,51,91,0,0,0,85,-1,-1,84,-1
cell_17,-1,-1,0,0,0,37,1,96,-1,-1,19,-1,3,0,52,54,84,59,-1,0,0,-1,-1,85,0,23,-1,47,46,68,-1,-1,0,0,-1,32,91,-1,0
cell_18,-1,-1,0,-1,84,0,68,-1,0,-1,0,15,0,0,-1,58,77,15,0,23,0,0,-1,85,49,0,-1,0,-1,-1,92,0,4,0,83,20,15,0,-1
cell_19,0,0,7,0,76,97,65,0,0,0,0,51,22,-1,56,0,70,35,0,0,0,91,0,19,95,68,-1,0,-1,0,14,0,-1,0,0,0,0,1,-1
cell_20,-1,-1,55,0,11,7,-1,-1,37,-1,49,-1,-1,-1,0,59,0,34,-1,0,24,-1,56,8,-1,57,0,-1,53,0,7,0,0,36,0,0,0,-1,-1
cell_21,0,0,-1,0,74,60,0,0,0,0,-1,0,42,57,0,57,0,0,0,93,0,0,78,0,-1,-1,0,-1,56,0,-1,0,0,-1,-1,16,54,0,0
cell_22,-1,28,64,63,0,6,35,-1,0,16,0,0,47,0,-1,0,0,0,0,65,96,0,0,93,-1,18,0,53,34,0,0,55,0,62,41,-1,83,0,72
cell_23,0,0,71,0,34,0,24,0,0,-1,0,0,66,87,0,0,0,0,0,83,0,5,0,-1,0,35,0,97,0,-1,0,0,92,56,0,-1,0,-1,-1
cell_24,0,68,0,9,-1,68,0,0,78,0,-1,0,57,-1,44,-1,-1,29,-1,0,0,88,95,0,0,33,-1,0,0,23,-1,0,0,37,0,0,-1,0,97
cell_25,20,0,-1,5,0,-1,0,51,0,0,13,65,0,0,0,63,0,0,43,0,5,60,0,42,29,54,-1,-1,0,-1,0,0,-1,56,0,0,-1,0,0
cell_26,-1,0,80,72,0,0,0,40,42,-1,63,44,0,16,0,0,-1,91,0,90,38,-1,53,35,0,18,98,-1,0,0,-1,-1,-1,0,0,0,0,0,77
cell_27,10,0,41,0,57,36,0,0,-1,0,0,18,97,65,-1,-1,30,3,0,-1,-1,0,-1,0,30,-1,28,35,-1,0,3,-1,0,32,-1,0,19,-1,94
cell_28,-1,0,-1,-1,22,0,84,14,87,0,0,0,-1,82,0,36,0,0,0,0,0,0,0,0,0,81,-1,99,-1,-1,0,0,0,-1,0,92,1,0,73
cell_29,0,97,-1,-1,13,33,0,-1,0,-1,77,98,0,0,0,-1,0,78,0,0,0,-1,0,37,19,48,0,0,-1,-1,41,0,51,0,0,0,78,-1,0
cell_30,0,65,-1,0,0,92,36,89,74,15,-1,0,63,0,0,49,57,59,71,5,4,0,-1,46,-1,58,0,0,0,0,-1,0,0,0,40,29,-1,15,0
cell_31,57,0,73,-1,82,18,0,71,-1,0,0,66,-1,-1,25,92,0,0,62,0,-1,-1,-1,60,88,83,0,0,49,0,-1,0,71,-1,-1,45,77,54,13
